encoded_feature,original_feature,importance
num__field_count_clean,field_count_clean,0.00081017474
cat__detail_time_scope_2025年,detail_time_scope,0.00080644194
cat__数据资源提供部门_上海市应急管理局,数据资源提供部门,0.0007893377
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，需要完整描述需求场景和用途,开放条件,0.00077883486
cat__数据领域_社保就业,数据领域,0.0007713734
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&如有和文旅相关申请可开放,开放条件,0.0007704838
num__has_xlsx_clean,has_xlsx_clean,0.00076399074
cat__数据资源提供部门_上海市奉贤区人民政府,数据资源提供部门,0.00076296105
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.0007513284
cat__detail_time_scope_2023年-2023年,detail_time_scope,0.00074422837
cat__数据资源提供部门_上海市司法局,数据资源提供部门,0.000736971
num__has_xml_clean,has_xml_clean,0.00072930934
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，请提供申请人姓名、工作(学习)单位、联系电话，并且说明数据用途和使用场景。,开放条件,0.00072379987
cat__数据资源提供部门_上海市发展和改革委员会,数据资源提供部门,0.0006984926
num__has_json_clean,has_json_clean,0.00068922894
cat__数据领域_公共安全,数据领域,0.0006890957
num__suspicious_field_names_flag,suspicious_field_names_flag,0.0006863468
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&申请通过即可开放,开放条件,0.00067802094
num__scene_keyword_count,scene_keyword_count,0.0006587734
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，需要完整描述需求场景和用途,开放条件,0.00064776343
cat__detail_time_scope_2021年-2025年,detail_time_scope,0.00064392673
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.00063459866
cat__detail_time_scope_2021年-2024年,detail_time_scope,0.0006339072
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息;注明数据来源，定期抽查数据使用情况;&&,开放条件,0.0006047665
cat__数据领域_工业制造,数据领域,0.00060040026
cat__数据资源提供部门_上海市总工会,数据资源提供部门,0.00059786363
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&需要上海市奉贤区大数据中心同意,开放条件,0.0005964357
cat__更新频率_每季度,更新频率,0.00059395673
cat__数据领域_经济建设,数据领域,0.00058513257
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；&&向业务部门申请,开放条件,0.0005848322
cat__数据资源提供部门_上海市卫生健康委员会（上海市中医药管理局）,数据资源提供部门,0.0005680028
cat__detail_time_scope_2019年-2025年,detail_time_scope,0.0005545668
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;,开放条件,0.0005418081
num__has_time_field_strict,has_time_field_strict,0.00054101535
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0005373027
cat__数据资源提供部门_上海市民政局,数据资源提供部门,0.00053514895
cat__数据资源提供部门_上海市国防动员办公室,数据资源提供部门,0.0005147583
cat__数据资源提供部门_上海市知识产权局,数据资源提供部门,0.0005023421
cat__开放条件_有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;申请上海市公安局有条件开放数据需填写《上海市公安局数据开放申请信息表》，并按要求如实填写提交。申请信息表下载链接如下：https://data.sh.gov.cn/assets/data/上海市公安局数据开放申请信息表.pdf;&&,开放条件,0.0005010889
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&面向社会开放，使用方需根据实际需要提出申请,开放条件,0.00048044347
cat__detail_time_scope_2017年-2025年,detail_time_scope,0.00047797873
cat__开放条件_有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&,开放条件,0.00047766019
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放清单,开放条件,0.00046474434
cat__detail_time_scope_2017年-2024年,detail_time_scope,0.00046276793
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&用于科学研究应用场景,开放条件,0.0004606992
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&个人实名制注册后开放,开放条件,0.0004359948
cat__detail_time_scope_2022年-2024年,detail_time_scope,0.00042162847
cat__数据资源提供部门_上海市规划和自然资源局,数据资源提供部门,0.00042056717
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.0004193651
cat__数据资源提供部门_上海市国有资产监督管理委员会,数据资源提供部门,0.00041253396
cat__数据资源提供部门_上海市体育局,数据资源提供部门,0.00040411126
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息;注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&,开放条件,0.00040109965
cat__detail_time_scope_2024年-2024年,detail_time_scope,0.00039758842
cat__detail_time_scope_2020年-2024年,detail_time_scope,0.00039221995
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依审核开放,开放条件,0.00038268926
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;,开放条件,0.0003761617
cat__数据资源提供部门_中共上海市委金融委员会办公室,数据资源提供部门,0.0003747822
cat__detail_time_scope_2020年,detail_time_scope,0.00036704587
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&按申请场景开放,开放条件,0.00035738913
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&依申请,开放条件,0.00035516528
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&有条件开放,开放条件,0.0003527596
cat__detail_time_scope_2018年-2025年,detail_time_scope,0.00035107677
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依主管部门审核后开放,开放条件,0.0003462207
cat__开放条件_无条件开放&&无,开放条件,0.00034438472
cat__detail_time_scope_2018年-2018年,detail_time_scope,0.00033065162
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&如有与文旅相关需求可开放,开放条件,0.00033013232
cat__detail_time_scope_2019年-2019年,detail_time_scope,0.00032420005
cat__开放条件_C1,开放条件,0.0003207266
cat__detail_time_scope_2019年-2023年,detail_time_scope,0.00031678795
cat__开放条件_有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景;注明数据来源，定期抽查数据使用情况;&&,开放条件,0.00031647956
cat__开放条件_无条件开放&&依申请开放,开放条件,0.00031488494
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;&&需审核后开放,开放条件,0.00031100682
cat__detail_time_scope_2023年-2024年,detail_time_scope,0.00030288057
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&根据业务使用场景，需文旅局审核。,开放条件,0.0002817873
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&与数据提供方线下沟通应用需求后方可开放,开放条件,0.00027662938
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放清单,开放条件,0.00027021975
cat__detail_time_scope_2020年-2021年,detail_time_scope,0.00026854282
cat__开放条件_有基础的数据安全保护能力;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景;注明数据来源，定期抽查数据使用情况;&&,开放条件,0.00026132463
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请通过即可开放,开放条件,0.00024285339
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；,开放条件,0.00024088212
cat__detail_time_scope_2016年-2024年,detail_time_scope,0.00023857545
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&系统数据可能涉及个人敏感数据,开放条件,0.00023038374
cat__detail_time_scope_2015年-2024年,detail_time_scope,0.00022029626
cat__detail_time_scope_2021年-2021年,detail_time_scope,0.00021404844
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&仅面向崇明区科研机构,开放条件,0.00021246127
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；,开放条件,0.00021088749
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;,开放条件,0.00021037781
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&依申请开放，成果需模糊敏感信息,开放条件,0.0002088765
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&面向社会开放，使用方需根据实际需要提出申请,开放条件,0.0001915333
cat__detail_time_scope_2011年,detail_time_scope,0.000119865595
cat__detail_time_scope_2010年,detail_time_scope,0.00011331554
cat__detail_time_scope_2021年-2022年,detail_time_scope,5.655346e-05
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&该数据不支持商用,开放条件,0.0
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请通过即可开放,开放条件,0.0
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&请提供申请人姓名、工作（学习）单位、联系电话，并且说明数据用途和使用场景。,开放条件,0.0
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&通过审批后可按照业务实际进行开放,开放条件,0.0
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&部门同意,开放条件,0.0
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&限委办局业务使用,开放条件,0.0
